-----------------------------------------------------------------------------------------------------
|         F_max          |         t_max          |       optimal h        |      optimal tau       |
-----------------------------------------------------------------------------------------------------
|           60           |           70           |         0.025          |          1.25          |
|           60           |           60           |         0.025          |          1.25          |
|           60           |           50           |         0.025          |          1.25          |
|           60           |           40           |         0.025          |          1.25          |
|           60           |           30           |         0.0125         |         0.625          |
|           60           |           20           |         0.0125         |         0.625          |
|           60           |           10           |         0.0125         |         0.625          |
|           60           |           1            |         0.025          |         0.625          |
|           50           |           70           |         0.025          |          1.25          |
|           50           |           60           |         0.025          |          1.25          |
|           50           |           50           |         0.025          |          1.25          |
|           50           |           40           |         0.025          |          1.25          |
|           50           |           30           |         0.0125         |          1.25          |
|           50           |           20           |         0.0125         |         0.625          |
|           50           |           10           |         0.0125         |         0.625          |
|           50           |           1            |         0.025          |         0.625          |
|           40           |           70           |         0.025          |          2.5           |
|           40           |           60           |         0.025          |          2.5           |
|           40           |           50           |         0.025          |          1.25          |
|           40           |           40           |         0.025          |          1.25          |
|           40           |           30           |         0.025          |          1.25          |
|           40           |           20           |         0.0125         |          1.25          |
|           40           |           10           |         0.0125         |         0.625          |
|           40           |           1            |         0.025          |         0.625          |
|           30           |           70           |         0.025          |          2.5           |
|           30           |           60           |         0.025          |          2.5           |
|           30           |           50           |         0.025          |          2.5           |
|           30           |           40           |         0.025          |          2.5           |
|           30           |           30           |         0.025          |          1.25          |
|           30           |           20           |         0.025          |          1.25          |
|           30           |           10           |         0.0125         |          1.25          |
|           30           |           1            |         0.025          |          1.25          |
|           20           |           70           |         0.025          |           5            |
|           20           |           60           |         0.025          |           5            |
|           20           |           50           |         0.025          |           5            |
|           20           |           40           |         0.025          |          2.5           |
|           20           |           30           |         0.025          |          2.5           |
|           20           |           20           |         0.025          |          2.5           |
|           20           |           10           |         0.025          |          2.5           |
|           20           |           1            |         0.025          |          1.25          |
|           10           |           70           |         0.025          |           5            |
|           10           |           60           |         0.025          |           5            |
|           10           |           50           |         0.025          |           5            |
|           10           |           40           |         0.025          |           5            |
|           10           |           30           |         0.025          |           5            |
|           10           |           20           |         0.025          |           5            |
|           10           |           10           |         0.025          |           5            |
|           10           |           1            |         0.025          |          2.5           |
|           1            |           70           |         0.025          |           5            |
|           1            |           60           |         0.025          |           5            |
|           1            |           50           |         0.025          |           5            |
|           1            |           40           |         0.025          |           5            |
|           1            |           30           |         0.025          |           5            |
|           1            |           20           |         0.025          |           5            |
|           1            |           10           |         0.025          |           5            |
|           1            |           1            |         0.025          |           5            |
-----------------------------------------------------------------------------------------------------
